,job_title,company,experience,salary,location,description,tags_associated,function_area,posting_date,scarping_date
12,Relationship Manager: Retail Banking (PAN India),Icici Bank,3-8 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru, Mumbai (All Areas)", The candidate should have a Post-Graduate / MBA degree from a leading institution with ...,Sales,retail banking retail customer service management customer handling private banking rm,Few Hours Ago,2023-03-07
13,Mega Walk-in Drive For Sales Officer at Axis Bank - Chennai,Axis Bank,08 Mar,Not disclosed,Chennai, About Liability Sales:The Liability Sales department focuses on the liability acquisiti...,Sales,axis marketing retail sales drives retail,1 Day Ago,2023-03-07
14,Assistant Relationship Manager | Retail Banking-Fresher,Next Business Services India,0-4 Yrs,2.25-4 Lacs PA,"Noida, Haridwar, Kashipur, Ghaziabad, Rudrapur, Haldwani, Gurgaon/Gurugram, Delhi / NCR", Assistant Relationship Manager -Maintains a loan and credit card portfolio that include...,Retail Banking,Private Banking Assistant Relationship Corporate Banking Branch Banking marketing relationship business banking,2 Days Ago,2023-03-07
15,Customer Relationship Officer -Banking English voice process(Freshers),Bankbazaar,0-2 Yrs,1.5-2 Lacs PA,Chennai, Shift Timings: 9:00 A.M to 6:00 P.M (including all the breaks in between). JOB ROLE: CU...,Outbound Sales,Domestic BPO Voice Process interpersonal skill customer relationship sales domestic english,Few Hours Ago,2023-03-07
16,Hiring For Banking sales For Relationship Officer & Team Leader@GOA,Axis Bank,0-5 Yrs,"50,000-2.5 Lacs PA",Goa, Can freshers apply: Yes Language requirement: Marathi / Hindi/English sould have experi...,fresher,sales banking sales sales and marketing marketing hiring mba marketing team,13 Days Ago,2023-03-07
17,Pune | Banking Hiring | Freshers & Exp. both Can apply,O3 Hire,0-5 Yrs,2-3.25 Lacs PA,Pune, ONROLL POSITION AND FRESHERS CAN ALSO APPLYIndustry: Banking | NBFC | BFSI Designation:...,B2C Sales,Direct Sales Banking Communication Skills fresher direct bbm mba marketing,4 Days Ago,2023-03-07
18,Genpact is Hiring For Transaction/Banking backend Profile || Jaipur,Genpact,0-2 Yrs,Not disclosed,Jaipur, . Freshers are eligible Any graduate or BBA / BCom/BSc / BA Any graduate except technic...,Banking Financial Services,Transaction Backend Operations Non Voice Operations backend process outbound fraud,1 Day Ago,2023-03-07
19,Genpact is Hiring For Transaction/Banking backend Profile || Delhi NCR,Genpact,0-4 Yrs,Not disclosed,"Noida, Gurgaon/Gurugram, Delhi / NCR", . Freshers are eligible Any graduate or BCom / BSc/BA Any graduate except technical. Go...,Banking Financial Services,Transaction Backend Operations Non Voice Operations finance customer service chargeback,1 Day Ago,2023-03-07
20,Diploma Trainee Engineer,Suzlon Group,1-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Electrical Diploma only 2019 pass out and 2020 appearing( Final Semester) candidates on...,electricals,recruitment selection turbine process pdf hrsd selection process,30+ Days Ago,2023-03-07
21,"Hiring - BIW Product Design, Concepts, Sheet Metal",Capgemini,3-8 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru, Mumbai (All Areas)"," Experience : 3 to 9 Years (Preferred- BIW - Front End, Crashbox, Underbody)Immediate jo...",Sheet Metal Design,Biw Design catia UG NX fmvss materials automotive trims,18 Days Ago,2023-03-07
22,Manager - OEM Sales,Zetwerk,6-10 Yrs,Not disclosed,"Mumbai, New Delhi, Pune, Chennai, Bangalore/Bengaluru", Driving establishment of Sales in new region End-to-end customer management Opening cre...,team,monitoring electronics sales planning consumer management logistics,30+ Days Ago,2023-03-07
23,Opening with Tetra Pak : Service Engineer,Tetra Pak,3-8 Yrs,Not disclosed,"Kolkata, Bhopal, Mumbai, Indore, Pune, Ahmedabad, Bangalore/Bengaluru, Gurgaon", Should have experience in Troubleshooting and maintenance and should be willing to trav...,service engineering,preventive maintenance Troubleshooting tetra manufacturing preventive servicing engineering,19 Days Ago,2023-03-07
24,"Supervisor - Civil, Finishing, Electrical, PHE",Mahindra Lifespaces,3-6 Yrs,Not disclosed,"Pune, Kalyan/Dombivli, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru, Palghar, Mumbai (All Areas)", Execute site works as per Drawings and monthly work plan & Handhold workers to follow r...,Construction,phe electricals finishing civil supervision,30+ Days Ago,2023-03-07
25,Plant Incharge - Mumbai/Pune RMC,JSW Cement,7-12 Yrs,Not disclosed,"Pune, Aurangabad, Mumbai (All Areas)", BE Civil / Mechanical with minimum 10 years job experienceProven work experience as a p...,RMX Plant Operation,analytical skill production management management plant rcc customer management production,Few Hours Ago,2023-03-07
26,Production Officer- RMC Mumbai/Pune,JSW Cement,3-7 Yrs,Not disclosed,"Pune, Aurangabad, Mumbai (All Areas)", Operating Command Batch and SAP Cleaning and washing of batch plantCoordination with La...,Production Supervising,management production factory production planning rcc logistics operations,Few Hours Ago,2023-03-07
27,Design Engineer - S&E,Stanley Black Decker India Ltd.,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Detail design engineering work for SPR Gun Design and SWS SPR equipment 3D CAD parts as...,engineering,3d design engineering 3d cad pro-e wellness microsoft quality check,11 Days Ago,2023-03-07
28,System Engineer - PLC/Scada,Saint Gobain,3-8 Yrs,Not disclosed,"Pune, Chennai, Bangalore/Bengaluru", Roles and Responsibilities Part of INDEC 4.0 Digital Mfg Industrial Automation technolo...,PLC,SCADA dbms system engineering hmi system scripting Database,5 Days Ago,2023-03-07
29,BIW Fixture Design Engineer,Allegis Group,1-6 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru", Roles & Responsibilities-. . We are conducting a drive on 11-March-First cum First pref...,biw fixture design,Concepts nx design fixture design catia fix fixtures,5 Days Ago,2023-03-07
30,"Hiring - BIW Product Design, Concepts, Sheet Metal",Capgemini,3-8 Yrs,Not disclosed,"Mumbai (All Areas), Pune"," Experience : 3 to 9 Years (Preferred- BIW - Front End, Crashbox, Underbody)Immediate jo...",design development,plastic design concept design biw automotive ece product design plm,6 Days Ago,2023-03-07
31,Immediate Joiner_ Interior Exterior_Catia V5/ UG-NX_CAD,Capgemini,3-6 Yrs,Not disclosed,"Mumbai (All Areas), Pune"," Experience : 3 to 6 Years (Preferred- Door trims, IP, Console, glove box, OHS, and Soft...",exterior trims,catia plastic automotive interior trims dfmea design ug,6 Days Ago,2023-03-07
32,Mainframe IMS Support,Wipro,4-7 Yrs,Not disclosed,"Temp. WFH - Pune, Chennai, Bangalore/Bengaluru"," JD: . . Primary: Microfocus COBOL development, JCL, VSTM, IMSDB mandate to have either ...",IMS,ims db microfocus db mainframes cobol,10 Days Ago,2023-03-07
33,Global Inventory Planner,Sandvik,3-5 Yrs,2-5 Lacs PA,"Pune, Bangalore/Bengaluru", Your profile: . . You will have at least 3 years experience within the logistics / supp...,microsoft,tools ms office ehs office ms office tools planning global,11 Days Ago,2023-03-07
34,Associate- Refurbishment & Production,Furlenco,1-4 Yrs,3.25-4.5 Lacs PA,"Hyderabad/Secunderabad, Pune", GraduationAbility to direct personnel towards maximum performance will set you apart as...,Production Planning,management assembly line planning production operations production repair,24 Days Ago,2023-03-07
35,Engineer - Instrumentation & Control (PSA Projects),Linde Group,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Knowledge of instrumentation engineering software tool like COMOS and Smart Instrumenta...,control valves,petrochemical interpersonal skills refinery review ms office project instrumentation,12 Days Ago,2023-03-07
36,Lead Engineer - Rotating Equipment,Linde Group,9-13 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," Proposal Project Execution- Create concepts, execution plans to provide robust technica...",rotating equipments,continuous improvement rotating epc hydraulics petrochemical chemical engineering production,13 Days Ago,2023-03-07
37,DMart-Hiring Store Managers anywhere in south india,DMart,9-14 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Mumbai (All Areas)"," Preferred candidates from Manufacturing handled Production line, Team handling, Shift m...",Assembly line,Production Manager Manpower Handling team line balancing store management process management,25 Days Ago,2023-03-07
38,BIW Robotic Simulation,Creative Synergies,3-15 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru"," Diploma, BE / M Tech . . . . Technical Competencies . . . . BIW Simulation, BIW tooling...",debugging,welding simulation manufacturing process project process simulation handling project delivery,30+ Days Ago,2023-03-07
39,BIW Fixture Design,Creative Synergies,2-15 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru"," Diploma, BE / M Tech . . . . Technical Competencies . . . . BIW tooling, Spot Welding, ...",fix,automation manufacturing welding layout catia fixtures cad,30+ Days Ago,2023-03-07
40,Application Security Analyst,Allegis Group,5-10 Yrs,Not disclosed,"Hybrid - Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," Knowledge and experience with network, host, and application security practices Good un...",Mobile Security,Application Security Sast Dast security application,1 Day Ago,2023-03-07
41,SAP Security Consultant,Infosys,2-7 Yrs,Not disclosed,Pune, Bachelor of Engineering You will create requirement specifications from the business ne...,SAP,sap fiori sap s hana bw sap bw sap crm sap ep sap grc,Just Now,2023-03-07
42,Security Analyst/Requirements Engineer(Automotive),URS Systems,5-10 Yrs,27.5-42.5 Lacs PA,"Pune, Bangalore/Bengaluru, Mumbai (All Areas)", ISO 21434 . . . Notice Period must not be more than 6 weeks 5+ years of experience .,security analysis,Embedded Systems Automotive Ethernet automotive security system requirements requirement engineering,5 Days Ago,2023-03-07
43,Security Governance Professional,Capgemini,4-8 Yrs,Not disclosed,Bangalore/Bengaluru," Working closely with Customer s team to develop GRC deliverables, Security Strategy, Fr...",Unix,Networking Incident management Change management Risk management events isms ip,1 Day Ago,2023-03-07
44,Security Governance professional,Capgemini,4-6 Yrs,Not disclosed,Bangalore/Bengaluru," Working closely with Customer s team to develop GRC deliverables, Security Strategy, Fr...",Unix,Change management Networking Incident management Risk management security management active directory,1 Day Ago,2023-03-07
45,Package Specialist: SAP Security,IBM,12-16 Yrs,Not disclosed,Bangalore/Bengaluru," As an Application Package Specialist, you ll help clients in the selection, implementat...",SAP,Production support Coding Consulting SQL software testing security process,1 Day Ago,2023-03-07
46,SailPoint IdentityIQ Security Specialist,Accenture,8-10 Yrs,Not disclosed,Bangalore/Bengaluru," Technical Experience : 1-SailPoint IdentityIQ, user life cycle management, certificatio...",Computer science,Analytical skills Powershell management consulting sailpoint computer programming,1 Day Ago,2023-03-07
47,Security Executive,Indigo,0-4 Yrs,Not disclosed,"Rajahmundry, Kadapa/Cuddapah, Vijayawada, Kurnool", Please share your CV at Arunkumar.Elumalai@GOAGILE.IN Job Description :The responsibili...,Communication Skills,administration security,5 Days Ago,2023-03-07
48,Officer/ Executive - Security,Agile Airport Services,0-4 Yrs,Not disclosed,Chennai, Maintain performance standards and follow up with your shift . . Monitor continuously t...,catering,customer service cost control sm manual security ticketing administration,11 Days Ago,2023-03-07
49,Specialist - Security,Sungard Availability Services,3-9 Yrs,Not disclosed,Pune," You are a hardworking, competitive type that is driven to succeed. Self-starter with a ...",management,microsoft acquisition administration talent acquisition corporate security site scheduling,1 Day Ago,2023-03-07
50,SAP S/4 HANA Security Consultant,Bosch Global Software Technologies,5-8 Yrs,15-25 Lacs PA,"Hybrid - Hyderabad/Secunderabad, Pune, Coimbatore, Bangalore/Bengaluru", Hands-on working knowledge of SAP roles and authorizations in both end user and project...,sap fiori,S4Hana sap bi security sap hana s security sap s hana sap,14 Days Ago,2023-03-07
51,SAP Basis Security professional,Capgemini,6-9 Yrs,Not disclosed,Mumbai, The consultant should be an expert contributing to different phases of the Project life...,SAP Basis Security,GRC Troubleshooting Business process consulting sap configuration process consulting security,1 Day Ago,2023-03-07
52,Security Consultant,Tech Mahindra,6-11 Yrs,Not disclosed,Dubai, Job Title : Security Consultant Job Location: Dubai Experience- 7+ Years Experience wit...,Penetration Testing,Vapt OWASP Sast Dast security software testing consulting,1 Day Ago,2023-03-07
53,Site Admin & Security Exec (Single Site) - Team Member_DM,ReNew Power,10-16 Yrs,Not disclosed,Dorgewadi, About Company Job Description,management,team exec site administration security Deputy Manager,1 Day Ago,2023-03-07
54,DGM/Manager- Operations(Security),BOMBAY INTELLIGENCE SECURITY (BIS),5-10 Yrs,6-8 Lacs PA,Mumbai (All Areas), Job descriptionDESIGNATION: DGM/Manager- OperationsJOB LOCATION: Mumbai(Powai)QUALIFICA...,management,dgm operations security management branch management security marketing security operations,3 Days Ago,2023-03-07
55,Security Supervisor,Novartis,7-15 Yrs,Not disclosed,Mumbai, Setting up policies for car park and traffic management . . Security team Workforce pla...,management,asset physical security services hse security management prevention workforce,2 Days Ago,2023-03-07
56,"Information Security Analyst, Associate",Deutsche Bank,1-4 Yrs,Not disclosed,Bangalore/Bengaluru," . Education / Certification . . . . CSO Governance, Risk and Control . . conducts proac...",management,corporate security operations hp data protector information security security operations iso data,10 Days Ago,2023-03-07
57,Security Consultant - Cloud,Bio Rad,5-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", . Bachelors dree in Information Security or related fieldQualifications . . . . . . Fiv...,security,cisa information security security consulting networking monitoring analytics information technology,4 Days Ago,2023-03-07
58,SAP Security Consultant - Support & Implementation,Prime Infosoft,6-9 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Support night shift on rotation basis Hands-on experience of SAP security for USER ADMI...,SAP ECC,SAP Security SAP Integration SAP BW SAP Support bw sap implementation ecc,5 Days Ago,2023-03-07
59,Security Consultant - Pentester,Bio Rad,5-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", . Bachelors degree in Information Security or related field or equivalent work experien...,soc,security consulting networking penetration testing automation process consulting security,4 Days Ago,2023-03-07
